,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year
0,Qatar-Ecuador,72.0,71.0,64.91666666666667,71.0,64.75,73.75,65.58333333333333,68.56666666666666,61.68333333333333,65.03333333333333,2022
1,Ecuador-Qatar,71.0,72.0,71.0,64.91666666666667,73.75,64.75,68.56666666666666,65.58333333333333,65.03333333333333,61.68333333333333,2022
2,Senegal-Netherlands,76.0,74.0,73.54166666666667,81.33333333333333,76.0,79.0,81.0,85.0,66.175,69.86666666666666,2022
3,Netherlands-Senegal,74.0,76.0,81.33333333333333,73.54166666666667,79.0,76.0,85.0,81.0,69.86666666666666,66.175,2022
4,England-Iran,83.0,73.0,86.66666666666667,69.66666666666667,77.42,73.5,83.0,70.28333333333333,71.06666666666666,64.95714285714287,2022
5,Iran-England,73.0,83.0,69.66666666666667,86.66666666666667,73.5,77.42,70.28333333333333,83.0,64.95714285714287,71.06666666666666,2022
6,United States-Wales,71.0,75.0,78.33333333333333,75.33333333333333,73.0,75.5,74.0,70.0,66.18133333333334,62.6,2022
7,Wales-United States,75.0,71.0,75.33333333333333,78.33333333333333,75.5,73.0,70.0,74.0,62.6,66.18133333333334,2022
8,France-Australia,88.0,80.0,87.66666666666667,71.33333333333333,77.0,70.75,82.66666666666667,72.66666666666667,74.248,63.896,2022
9,Australia-France,80.0,88.0,71.33333333333333,87.66666666666667,70.75,77.0,72.66666666666667,82.66666666666667,63.896,74.248,2022
10,Denmark-Tunisia,83.0,71.0,76.33333333333333,76.66666666666667,77.25,73.32954545454545,78.33333333333333,75.66666666666667,65.93333333333334,65.3969696969697,2022
11,Tunisia-Denmark,71.0,83.0,76.66666666666667,76.33333333333333,73.32954545454545,77.25,75.66666666666667,78.33333333333333,65.3969696969697,65.93333333333334,2022
12,Mexico-Poland,74.0,86.0,78.0,82.66666666666667,75.5,74.5,77.0,76.0,63.46666666666667,65.66666666666667,2022
13,Poland-Mexico,86.0,74.0,82.66666666666667,78.0,74.5,75.5,76.0,77.0,65.66666666666667,63.46666666666667,2022
14,Argentina-Saudi Arabia,80.0,71.0,81.14666666666666,68.55072463768117,80.25,71.5,81.33333333333333,70.33333333333333,71.53333333333333,60.48695652173913,2022
15,Saudi Arabia-Argentina,71.0,80.0,68.55072463768117,81.14666666666666,71.5,80.25,70.33333333333333,81.33333333333333,60.48695652173913,71.53333333333333,2022
16,Belgium-Canada,89.0,73.0,87.0,73.33333333333333,85.25,73.5,84.33333333333333,66.66666666666667,73.92777777777776,62.2,2022
17,Canada-Belgium,73.0,89.0,73.33333333333333,87.0,73.5,85.25,66.66666666666667,84.33333333333333,62.2,73.92777777777776,2022
18,Spain-Costa Rica,73.0,70.0,81.0,68.0,84.0,71.75,79.0,72.66666666666667,63.53333333333333,63.62222222222222,2022
19,Costa Rica-Spain,70.0,73.0,68.0,81.0,71.75,84.0,72.66666666666667,79.0,63.62222222222222,63.53333333333333,2022
20,Germany-Japan,89.0,65.0,80.33333333333333,72.33333333333333,85.5,67.59375,82.33333333333333,64.79166666666667,71.73333333333333,60.06666666666667,2022
21,Japan-Germany,65.0,89.0,72.33333333333333,80.33333333333333,67.59375,85.5,64.79166666666667,82.33333333333333,60.06666666666667,71.73333333333333,2022
22,Morocco-Croatia,79.0,74.0,76.1159420289855,81.33333333333333,76.08695652173913,82.75,75.66666666666667,79.0,66.0231884057971,69.47733333333333,2022
