,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year,Winner
0,South Africa-Mexico,72.0,71.0,65.0,74.17543859649123,69.67307692307692,68.38157894736842,69.28205128205128,74.33333333333333,63.41025641025641,65.50438596491229,2010,1
1,Uruguay-France,81.0,88.0,77.66666666666667,73.56140350877193,77.26388888888889,77.67105263157895,76.0,78.33333333333333,65.26851851851852,66.19736842105263,2010,1
2,South Korea-Greece,65.55555555555556,74.0,70.85185185185185,73.66666666666667,65.55555555555556,70.75,66.03703703703704,75.66666666666667,64.1111111111111,63.916666666666664,2010,2
3,Argentina-Nigeria,80.0,73.0,83.0,69.66666666666667,76.75,59.95833333333334,75.23809523809524,67.80555555555556,65.64285714285715,63.02777777777777,2010,2
4,England-United States,70.0,73.0,76.33333333333333,70.66666666666667,75.25,74.0,71.66666666666667,74.36842105263158,65.82407407407408,65.44298245614037,2010,1
5,Algeria-Slovenia,81.0,88.0,69.45,74.8030303030303,72.0875,74.0,72.0,73.66666666666667,64.8625,65.83333333333333,2010,0
6,Serbia-Ghana,74.0,72.0,72.0,69.0,73.0,80.5,74.33333333333333,71.66666666666667,65.93333333333332,64.7063492063492,2010,0
7,Germany-Australia,89.0,71.0,69.66666666666667,67.7121212121212,86.25,67.5,79.66666666666667,72.0,70.15873015873017,63.416666666666664,2010,2
8,Netherlands-Denmark,76.0,73.0,80.33333333333333,67.66666666666667,71.875,74.5,73.58333333333333,71.0,66.83333333333333,61.26515151515152,2010,2
9,Japan-Cameroon,62.30769230769231,74.0,72.43589743589745,75.97777777777777,62.15384615384615,73.2,69.87179487179488,77.0,57.93589743589743,67.14444444444445,2010,2
10,Italy-Paraguay,88.0,77.0,76.33333333333333,71.48148148148148,75.0,71.75,84.0,75.33333333333333,67.41666666666667,66.59722222222221,2010,1
11,New Zealand-Slovakia,65.0,85.0,71.0,68.66666666666667,68.75,75.0,74.0,74.0,60.333333333333336,65.10984848484848,2010,1
12,Ivory Coast-Portugal,72.0,76.0,77.66666666666667,71.34920634920634,70.05357142857142,71.5,74.35714285714285,81.66666666666667,66.94642857142857,67.75396825396825,2010,1
13,Brazil-North Korea,76.0,63.833333333333336,75.77777777777777,67.61111111111111,77.58333333333333,63.833333333333336,81.66666666666667,63.833333333333336,67.08333333333333,62.88888888888891,2010,2
14,Honduras-Chile,74.0,72.0,71.71111111111111,76.33333333333333,75.81666666666666,79.25,69.08888888888889,73.33333333333333,65.86666666666666,64.05952380952381,2010,0
15,Spain-Switzerland,72.0,75.0,79.66666666666667,72.8030303030303,81.0,76.75,87.33333333333333,75.66666666666667,65.91666666666667,64.08333333333333,2010,0
16,South Africa-Uruguay,72.0,81.0,65.0,77.66666666666667,69.67307692307692,77.26388888888889,69.28205128205128,76.0,63.41025641025641,65.26851851851852,2010,0
17,Argentina-South Korea,80.0,65.55555555555556,83.0,70.85185185185185,76.75,65.55555555555556,75.23809523809524,66.03703703703704,65.64285714285715,64.1111111111111,2010,2
