,match,GK Difference,FW Difference,MF Difference,DF Difference,backup Difference,GK^2 Difference,GK FW Difference,GK MF Difference,GK DF Difference,GK backup Difference,FW^2 Difference,FW MF Difference,FW DF Difference,FW backup Difference,MF^2 Difference,MF DF Difference,MF backup Difference,DF^2 Difference,DF backup Difference,backup^2 Difference,Year,Winner
0,South Africa-Mexico,1.0,-9.175438596491233,1.291497975708495,-5.051282051282044,-2.094129554655879,1.4300000000000068,-5.86456140350878,1.613694331983794,-2.893589743589743,-0.8527294197031168,-12.769956909818411,-5.434836103416444,-10.103742690058475,-7.371498922745467,1.7829730859381314,-2.559370133914662,-0.6130566767471635,-7.254418145956592,-4.759667203017408,-2.699639626257344,2010,1
1,Uruguay-France,-7.0,4.10526315789474,-0.4071637426900594,-2.3333333333333286,-0.928849902534111,-11.829999999999998,-1.8240350877193094,-5.766776315789478,-7.373333333333335,-5.3861842105263165,6.2083102493074875,2.8723706012106263,1.4035672514619932,1.9961694196504922,-0.6308389066293927,-2.121769005847945,-0.9871972394639954,-3.601111111111109,-2.2505311890838158,-1.221120762703812,2010,1
2,South Korea-Greece,-8.444444444444443,-2.8148148148148238,-5.194444444444443,-9.629629629629633,0.19444444444443576,-11.784691358024688,-8.066008230452681,-9.379691358024687,-12.702386831275724,-5.269938271604943,-4.067928669410158,-5.6718415637860105,-8.952647462277113,-1.6613683127572116,-7.080316358024689,-10.243220164609056,-3.1926466049382682,-13.645541838134442,-6.026532921810713,0.24894290123455676,2010,2
3,Argentina-Nigeria,7.0,13.333333333333329,16.791666666666657,7.432539682539684,2.6150793650793815,10.71,15.543333333333337,17.63041666666666,10.69242063492063,6.5040079365079535,20.355555555555547,21.931527777777767,15.209748677248669,10.574219576719585,22.95560763888888,17.09015707671957,12.590487764550268,10.631776108591588,6.652100497606462,3.364839222726154,2010,2
4,England-United States,-3.0,5.666666666666657,1.25,-2.701754385964904,0.3810916179337056,-4.289999999999999,1.846666666666657,-1.345000000000006,-4.122280701754377,-1.6965253411306236,8.329999999999991,5.147499999999994,2.1518713450292424,3.99933560753734,1.8656250000000014,-1.1034649122806997,1.104808723196868,-3.945509387503833,-1.4949929892958593,0.5002477495449469,2010,1
5,Algeria-Slovenia,-7.0,-5.353030303030295,-1.9124999999999943,-1.6666666666666714,-0.9708333333333314,-11.829999999999998,-9.572166666666654,-6.729124999999996,-6.506666666666668,-5.394708333333327,-7.721908425160684,-5.289473674242416,-5.100898989898987,-4.198322032828273,-2.793923437499984,-2.610333333333344,-1.9589119791666576,-2.427777777777777,-1.7962222222222337,-1.2688387152777807,2010,0
6,Serbia-Ghana,2.0,3.0,-7.5,2.666666666666657,1.2269841269841208,2.9199999999999946,3.6000000000000014,-3.9399999999999977,3.406666666666659,2.2020952380952394,4.230000000000004,-2.9849999999999994,4.07,2.824619047619045,-11.512499999999996,-3.4283333333333417,-3.957277777777783,3.8933333333333096,2.637560846560838,1.602928168304345,2010,0
7,Germany-Australia,18.0,1.9545454545454675,18.75,7.666666666666671,6.742063492063501,28.799999999999997,13.927727272727289,28.837500000000006,19.78333333333334,17.41543650793652,2.685130853994508,14.38181818181819,6.748383838383852,5.936478475228483,28.828125,20.112500000000004,17.705654761904775,11.62777777777778,10.233121693121703,9.005738063744026,2010,2
8,Netherlands-Denmark,3.0,12.666666666666657,-2.625,2.5833333333333286,5.568181818181806,4.469999999999999,11.65666666666666,0.240000000000002,4.093333333333334,6.069772727272721,18.74666666666665,7.32791666666666,11.068611111111096,12.233358585858568,-3.8423437499999977,-0.00697916666667453,2.3939204545454515,3.7350694444444343,5.679936868686859,7.132756542699703,2010,2
9,Japan-Cameroon,-11.692307692307693,-3.5418803418803293,-11.04615384615385,-7.128205128205124,-9.208547008547015,-15.937514792899407,-11.090419460880987,-15.441372781065091,-13.444497041420114,-13.588368178829718,-5.256634787055283,-10.59403708086785,-7.890627218934895,-9.048469544890061,-14.951394082840245,-12.935992110453654,-13.140344773175542,-10.469322813938199,-11.220370808678503,-11.518082080502595,2010,2
