,match,GK Difference,FW Difference,MF Difference,DF Difference,backup Difference,Year,Winner
0,South Africa-Mexico,1.0,-9.175438596491233,1.291497975708495,-5.051282051282044,-2.094129554655879,2010,1
1,Uruguay-France,-7.0,4.10526315789474,-0.4071637426900594,-2.3333333333333286,-0.928849902534111,2010,1
2,South Korea-Greece,-8.444444444444443,-2.8148148148148238,-5.194444444444443,-9.629629629629633,0.19444444444443576,2010,2
3,Argentina-Nigeria,7.0,13.333333333333329,16.791666666666657,7.432539682539684,2.6150793650793815,2010,2
4,England-United States,-3.0,5.666666666666657,1.25,-2.701754385964904,0.3810916179337056,2010,1
5,Algeria-Slovenia,-7.0,-5.353030303030295,-1.9124999999999943,-1.6666666666666714,-0.9708333333333314,2010,0
6,Serbia-Ghana,2.0,3.0,-7.5,2.666666666666657,1.2269841269841208,2010,0
7,Germany-Australia,18.0,1.9545454545454675,18.75,7.666666666666671,6.742063492063501,2010,2
8,Netherlands-Denmark,3.0,12.666666666666657,-2.625,2.5833333333333286,5.568181818181806,2010,2
9,Japan-Cameroon,-11.692307692307693,-3.5418803418803293,-11.04615384615385,-7.128205128205124,-9.208547008547015,2010,2
10,Italy-Paraguay,11.0,4.851851851851848,3.25,8.666666666666671,0.8194444444444571,2010,1
11,New Zealand-Slovakia,-20.0,2.3333333333333286,-6.25,0.0,-4.776515151515149,2010,1
12,Ivory Coast-Portugal,-4.0,6.3174603174603305,-1.4464285714285836,-7.309523809523824,-0.8075396825396837,2010,1
13,Brazil-North Korea,12.166666666666664,8.166666666666657,13.749999999999993,17.833333333333336,4.1944444444444215,2010,2
14,Honduras-Chile,2.0,-4.62222222222222,-3.433333333333337,-4.24444444444444,1.8071428571428498,2010,0
15,Spain-Switzerland,-3.0,6.863636363636374,4.25,11.666666666666657,1.8333333333333428,2010,0
16,South Africa-Uruguay,-9.0,-12.666666666666671,-7.590811965811966,-6.717948717948715,-1.8582621082621102,2010,0
17,Argentina-South Korea,14.444444444444443,12.148148148148152,11.194444444444443,9.201058201058203,1.531746031746053,2010,2
18,Greece-Nigeria,1.0,4.0,10.791666666666657,7.861111111111114,0.8888888888888928,2010,2
19,France-Mexico,17.0,-0.6140350877193015,9.28947368421052,4.0,0.6929824561403422,2010,0
20,Germany-Serbia,15.0,-2.3333333333333286,13.25,5.333333333333343,4.225396825396842,2010,0
21,Slovenia-United States,15.0,4.136363636363626,0.0,-0.7017543859649038,0.390350877192958,2010,1
22,England-Algeria,-11.0,6.883333333333326,3.1624999999999943,-0.3333333333333286,0.961574074074079,2010,1
23,Netherlands-Japan,13.692307692307693,7.897435897435884,9.721153846153847,3.711538461538453,8.897435897435898,2010,2
24,Ghana-Australia,1.0,1.287878787878796,13.0,-0.3333333333333286,1.2896825396825378,2010,1
25,Cameroon-Denmark,1.0,8.311111111111103,-1.2999999999999972,6.0,5.879292929292923,2010,0
26,Slovakia-Paraguay,8.0,-2.8148148148148096,3.25,-1.3333333333333286,-1.48737373737373,2010,0
27,Italy-New Zealand,23.0,5.333333333333329,6.25,10.0,7.083333333333336,2010,1
28,Brazil-Ivory Coast,4.0,-1.8888888888889,7.529761904761912,7.309523809523824,0.1369047619047592,2010,2
29,Portugal-North Korea,12.166666666666664,3.7380952380952266,7.666666666666664,17.833333333333336,4.865079365079346,2010,2
30,Chile-Switzerland,-3.0,3.530303030303031,2.5,-2.333333333333343,-0.023809523809518396,2010,2
31,Spain-Honduras,-2.0,7.955555555555563,5.183333333333337,18.24444444444444,0.05000000000001137,2010,2
32,Mexico-Uruguay,-10.0,-3.4912280701754383,-8.882309941520461,-1.6666666666666714,0.2358674463937689,2010,0
33,France-South Africa,16.0,8.561403508771932,7.997975708502025,9.051282051282044,2.7871120107962213,2010,0
34,Nigeria-South Korea,7.444444444444443,-1.1851851851851762,-5.597222222222214,1.768518518518519,-1.0833333333333286,2010,1
35,Greece-Argentina,-6.0,-9.333333333333329,-6.0,0.4285714285714306,-1.7261904761904887,2010,0
36,Slovenia-England,18.0,-1.5303030303030312,-1.25,2.0,0.009259259259252417,2010,0
37,United States-Algeria,-8.0,1.2166666666666686,1.9124999999999943,2.368421052631575,0.5804824561403734,2010,2
38,Ghana-Germany,-17.0,-0.6666666666666714,-5.75,-8.0,-5.452380952380963,2010,0
39,Australia-Serbia,-3.0,-4.287878787878796,-5.5,-2.3333333333333286,-2.5166666666666586,2010,2
40,Slovakia-Italy,-3.0,-7.666666666666657,0.0,-10.0,-2.306818181818187,2010,2
41,Paraguay-New Zealand,12.0,0.48148148148148096,3.0,1.3333333333333286,6.263888888888879,2010,1
42,Denmark-Japan,10.692307692307693,-4.769230769230774,12.346153846153847,1.1282051282051242,3.329254079254092,2010,0
43,Cameroon-Netherlands,-2.0,-4.355555555555554,1.3250000000000028,3.4166666666666714,0.3111111111111171,2010,0
44,Portugal-Brazil,0.0,-4.428571428571431,-6.083333333333329,0.0,0.6706349206349245,2010,1
45,North Korea-Ivory Coast,-8.166666666666664,-10.055555555555557,-6.220238095238081,-10.523809523809511,-4.057539682539662,2010,0
46,Chile-Spain,0.0,-3.333333333333343,-1.75,-14.0,-1.8571428571428612,2010,0
47,Switzerland-Honduras,1.0,1.0919191919191888,0.9333333333333371,6.577777777777783,-1.7833333333333314,2010,1
48,Uruguay-South Korea,15.444444444444443,6.814814814814824,11.708333333333329,9.962962962962962,1.157407407407419,2010,2
49,United States-Ghana,1.0,1.6666666666666714,-6.5,2.701754385964904,0.7366332497911685,2010,0
50,Germany-England,19.0,-6.666666666666657,11.0,8.0,4.334656084656089,2010,2
51,Argentina-Mexico,9.0,8.824561403508767,8.368421052631575,0.9047619047619122,0.13847117794486508,2010,2
52,Netherlands-Slovakia,-9.0,11.666666666666657,-3.125,-0.4166666666666714,1.7234848484848442,2010,2
