,name,position,country,overall_rating,dribbling,freekick_accuracy,agility,ball_control,interceptions,penalties
0,Essam Kamal Tawfiq El Hadary,GK,Egypt,70.52631578947368,67.05263157894737,54.10526315789474,69.63157894736842,67.89473684210526,43.0,56.526315789473685
1,Ali Gabr Gabr Mossad,DF,Egypt,67.0,68.0,64.0,68.0,70.0,34.0,60.0
2,Ahmed Eissa Elmohamady Abdel Fattah,DF,Egypt,70.0,68.0,69.0,72.0,71.0,68.0,59.0
3,Omar Mahmoud El Sayed Gaber,MF,Egypt,68.0,62.0,46.0,72.0,70.0,62.0,46.0
4,Samy Sayed Morsy,MF,Egypt,70.0,69.0,55.0,81.0,66.0,68.0,44.0
5,Ahmed Elsayed Ali Elsayed Hegazy,DF,Egypt,76.0,49.0,29.0,45.0,63.0,71.0,30.0
6,Ahmed Fathi Abdelmonem Ahmed Ibrahim,DF,Egypt,53.0,58.0,44.0,58.0,54.0,19.0,56.0
7,Tarek Hamed,MF,Egypt,67.0,69.0,61.0,59.0,60.0,66.0,66.0
8,Marwan Mohsen Fahmy Tharwat Gameldin Mahmoud Fahmy,FW,Egypt,70.52631578947368,67.05263157894737,54.10526315789474,69.63157894736842,67.89473684210526,43.0,56.526315789473685
9,Mohamed Salah Hamed Mahrous Ghaly,FW,Egypt,89.0,89.0,60.0,91.0,88.0,55.0,75.0
10,Mahmoud Abdel Moneim Abdel Hamid Soliman,FW,Egypt,74.0,80.0,44.0,79.0,77.0,28.0,69.0
11,Ayman Ashraf Elsayed Elsembeskany,DF,Egypt,70.52631578947368,67.05263157894737,54.10526315789474,69.63157894736842,67.89473684210526,43.0,56.526315789473685
12,Mohamed Abdel Shafy Said Abouzid,DF,Egypt,69.0,65.0,59.0,75.0,68.0,67.0,50.0
13,Ramadan Sobhi Ramadan Ahmed,FW,Egypt,74.0,81.0,63.0,73.0,80.0,38.0,65.0
14,Mahmoud Hamdy Mahmoud Hamouda Attia,DF,Egypt,59.0,57.0,36.0,66.0,56.0,15.0,60.0
