,country,GK,FW,MF,DF,backup,score
0,Ecuador,71.0,71.0,73.75,68.56666666666666,65.03333333333333,63.36666666666666
1,Netherlands,74.0,81.33333333333333,79.0,85.0,69.86666666666666,70.85333333333332
2,Qatar,72.0,64.91666666666667,64.75,65.58333333333333,61.68333333333333,59.618333333333325
3,Senegal,76.0,73.54166666666667,76.0,81.0,66.175,67.92583333333333
4,England,83.0,86.66666666666667,77.42,83.0,71.06666666666666,73.124
5,Iran,73.0,69.66666666666667,73.5,70.28333333333333,64.95714285714287,63.7857142857143
6,United States,71.0,78.33333333333333,73.0,74.0,66.18133333333334,65.8848
7,Wales,75.0,75.33333333333333,75.5,70.0,62.6,65.42666666666666
8,Argentina,80.0,81.14666666666666,80.25,81.33333333333333,71.53333333333333,71.69933333333333
9,Mexico,74.0,78.0,75.5,77.0,63.46666666666667,67.24666666666667
10,Poland,86.0,82.66666666666667,74.5,76.0,65.66666666666667,70.4
11,Saudi Arabia,71.0,68.55072463768117,71.5,70.33333333333333,60.48695652173913,62.32550724637681
12,Australia,80.0,71.33333333333333,70.75,72.66666666666667,63.896,65.33959999999999
13,Denmark,83.0,76.33333333333333,77.25,78.33333333333333,65.93333333333334,69.57666666666667
14,France,88.0,87.66666666666667,77.0,82.66666666666667,74.248,74.49146666666668
15,Tunisia,71.0,76.66666666666667,73.32954545454545,75.66666666666667,65.3969696969697,65.87227272727273
16,Costa Rica,70.0,68.0,71.75,72.66666666666667,63.62222222222222,62.84555555555556
17,Germany,89.0,80.33333333333333,85.5,82.33333333333333,71.73333333333333,74.60666666666665
18,Japan,65.0,72.33333333333333,67.59375,64.79166666666667,60.06666666666667,59.95041666666667
19,Spain,73.0,81.0,84.0,79.0,63.53333333333333,69.75333333333333
20,Belgium,89.0,87.0,85.25,84.33333333333333,73.92777777777776,76.50944444444444
21,Canada,73.0,73.33333333333333,73.5,66.66666666666667,62.2,63.52
22,Croatia,74.0,81.33333333333333,82.75,79.0,69.47733333333333,70.3644
23,Morocco,79.0,76.1159420289855,76.08695652173913,75.66666666666667,66.0231884057971,67.97623188405797
24,Brazil,87.0,85.0,81.12,85.66666666666667,67.53333333333333,74.51066666666667
25,Cameroon,80.0,78.66666666666667,74.75,74.09523809523809,67.4952380952381,68.25190476190475
26,Serbia,79.0,80.0,79.0,74.33333333333333,68.6,69.32666666666667
27,Switzerland,84.0,74.91666666666667,78.75,78.33333333333333,68.85,70.08500000000001
28,Ghana,62.0,77.66666666666667,73.0,74.66666666666667,61.777777777777786,63.64444444444446
29,Portugal,83.0,78.79166666666667,81.0,83.0,69.425,72.10083333333333
30,South Korea,64.27272727272727,64.27272727272727,69.75,66.18181818181817,62.64705882352941,59.160160427807476
31,Uruguay,81.0,76.33333333333333,73.07,80.0,65.66666666666667,68.64733333333332
